Class,Accuracy,Precision,Recall,F1 Score
putih,0.9538461538461539,0.8,1.0,0.888888888888889
hijautua,0.9538461538461539,1.0,0.95,0.9743589743589743
hitam,0.9538461538461539,1.0,1.0,1.0
merah,0.9538461538461539,1.0,0.85,0.9189189189189189
orange,0.9538461538461539,1.0,1.0,1.0
putihcampuran,0.9538461538461539,1.0,1.0,1.0
kuning,0.9538461538461539,1.0,1.0,1.0
kuningcampuran,0.9538461538461539,1.0,1.0,1.0
hijaumuda,0.9538461538461539,0.9523809523809523,1.0,0.975609756097561
birulangit,0.9538461538461539,0.8695652173913043,1.0,0.9302325581395349
birutua,0.9538461538461539,1.0,0.9,0.9473684210526316
coklat,0.9538461538461539,0.8636363636363636,0.95,0.9047619047619048
emas,0.9538461538461539,1.0,0.75,0.8571428571428571
