Class,Accuracy,Precision,Recall,F1 Score
putih,0.9230769230769231,0.8,1.0,0.888888888888889
hijautua,0.9230769230769231,1.0,0.95,0.9743589743589743
hitam,0.9230769230769231,1.0,0.85,0.9189189189189189
merah,0.9230769230769231,1.0,0.85,0.9189189189189189
orange,0.9230769230769231,0.9523809523809523,1.0,0.975609756097561
putihcampuran,0.9230769230769231,1.0,1.0,1.0
kuning,0.9230769230769231,1.0,0.95,0.9743589743589743
kuningcampuran,0.9230769230769231,1.0,1.0,1.0
hijaumuda,0.9230769230769231,0.9523809523809523,1.0,0.975609756097561
birulangit,0.9230769230769231,0.6896551724137931,1.0,0.8163265306122449
birutua,0.9230769230769231,1.0,0.75,0.8571428571428571
coklat,0.9230769230769231,0.8181818181818182,0.9,0.8571428571428572
emas,0.9230769230769231,1.0,0.75,0.8571428571428571
